City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ancud,84,CL,1626069741,91,-41.8697,-73.8203,44.73,3.2
Palmer,90,US,1626069723,86,42.1584,-72.3287,68.9,4.61
Krasnosel'kup,96,RU,1626069741,65,65.7,82.4667,51.98,7.49
Alvorada,55,BR,1626069742,47,-12.48,-49.1247,69.96,4.56
Anito,99,PH,1626069742,71,12.4497,125.2886,86.05,7.94
Port Lincoln,56,AU,1626069742,68,-34.7333,135.8667,59.29,14.14
Kiryat Gat,0,IL,1626069485,100,31.61,34.7642,81.91,3.58
Carnarvon,100,AU,1626069743,80,-24.8667,113.6333,67.28,16.71
Grindavik,90,IS,1626069743,100,63.8424,-22.4338,53.56,19.57
Ugoofaaru,100,MV,1626069743,82,5.6667,73.0,82.18,16.73
Spearfish,1,US,1626069580,35,44.4908,-103.8594,75.42,11.5
Nikolskoye,8,RU,1626069744,55,59.7035,30.7861,75.4,4.09
Upata,100,VE,1626069744,93,8.0086,-62.3989,73.18,5.48
La Tuque,89,CA,1626069744,97,47.4334,-72.7824,56.32,3.71
Baoding,96,CN,1626069745,86,38.8511,115.4903,76.59,8.72
Lagoa,90,PT,1626069745,72,39.05,-27.9833,66.13,15.12
Sitka,100,US,1626069746,81,57.0531,-135.33,55.36,3.2
Husavik,16,IS,1626069746,77,66.0449,-17.3389,54.1,3.49
Nouadhibou,88,MR,1626069746,94,20.931,-17.0347,66.85,11.05
San Nicolas,62,PH,1626069747,72,18.1725,120.5953,87.93,8.19
Port Elizabeth,0,ZA,1626069747,87,-33.918,25.5701,48.49,4.61
Sosnogorsk,33,RU,1626069747,41,63.6023,53.8817,58.57,6.69
Fuling,91,CN,1626069748,75,29.7022,107.3919,86.79,0.54
Pangai,2,TO,1626069748,91,-19.8,-174.35,77.23,12.26
Bundaberg,77,AU,1626069748,69,-24.85,152.35,69.22,5.01
Arinos,5,BR,1626069749,52,-15.9169,-46.1056,58.5,1.97
Bayjī,0,IQ,1626069749,12,34.9311,43.487,104.32,15.28
Tiksi,47,RU,1626069749,58,71.6872,128.8694,42.35,8.43
Carmo do Rio Verde,88,BR,1626069750,42,-15.3536,-49.7075,61.25,3.42
Ponta do Sol,95,PT,1626069750,58,32.6667,-17.1,72.12,8.81
Sembakung,95,ID,1626069750,87,3.8167,117.25,84.13,1.95
Hecun,61,CN,1626069751,55,36.5333,114.1111,89.96,6.35
Camaná,80,PE,1626069751,79,-16.6228,-72.7111,60.51,4.16
Buala,35,SB,1626069751,76,-8.145,159.5921,82.54,6.64
Bethel,90,US,1626069752,93,41.3712,-73.414,74.05,3.44
Lebu,12,CL,1626069752,84,-37.6167,-73.65,44.65,7.31
Weiser,0,US,1626069752,18,44.251,-116.9693,83.32,8.46
Sørland,100,NO,1626069753,87,67.667,12.6934,55.47,22.17
Carmelo,100,UY,1626069753,85,-33.9892,-58.2856,57.16,6.71
Longyearbyen,75,SJ,1626069644,81,78.2186,15.6401,40.84,13.8
Castro,5,BR,1626069753,95,-24.7911,-50.0119,48.69,3.56
Port Alfred,26,ZA,1626069754,30,-33.5906,26.891,70.07,13.27
Keti Bandar,100,PK,1626069754,68,24.1447,67.4497,87.53,10.51
Kindu,8,CD,1626069754,36,-2.95,25.95,73.22,2.37
Sharjah city,53,AE,1626069755,46,25.3573,55.4033,101.25,7.05
Lakes Entrance,40,AU,1626069755,56,-37.8811,147.981,58.17,3.33
Skellefteå,0,SE,1626069756,49,64.7507,20.9528,75.99,1.99
Ormara,79,PK,1626069756,78,25.2088,64.6357,83.35,6.93
Plettenberg Bay,46,ZA,1626069756,46,-34.0527,23.3716,53.87,3.44
Shimoda,100,JP,1626069757,75,34.6667,138.95,87.1,13.62
Vysokogornyy,100,RU,1626069757,71,50.1167,139.15,76.05,6.13
Manjacaze,0,MZ,1626069757,76,-24.7117,33.8828,62.06,5.39
Grand Gaube,28,MU,1626069757,70,-20.0064,57.6608,74.37,13.0
Olden,40,NO,1626069758,67,61.8364,6.8064,64.9,4.05
Kruisfontein,1,ZA,1626069758,40,-34.0033,24.7314,49.5,2.53
Malinovskiy,63,RU,1626069759,41,61.1953,62.8397,65.98,7.27
Vao,47,NC,1626069759,66,-22.6667,167.4833,69.31,14.45
Bengkulu,68,ID,1626069476,72,-3.8004,102.2655,83.52,10.4
Dingle,73,PH,1626069759,64,10.9995,122.6711,89.1,7.96
Aransas Pass,1,US,1626069760,91,27.9095,-97.15,83.01,10.0
Maniitsoq,98,GL,1626069760,79,65.4167,-52.9,43.0,0.47
Gigmoto,100,PH,1626069760,72,13.7796,124.39,86.54,6.78
Taltal,67,CL,1626069761,84,-25.4,-70.4833,56.14,0.47
Walvis Bay,1,NA,1626069761,91,-22.9575,14.5053,57.09,8.16
Tupik,100,RU,1626069761,53,54.4253,119.9327,72.36,3.2
Remedios,82,CU,1626069762,89,22.4947,-79.5458,76.78,10.8
Shenjiamen,100,CN,1626069762,86,29.9576,122.298,80.76,21.14
Mount Gambier,75,AU,1626069762,94,-37.8333,140.7667,55.31,11.5
Mazatlán,100,MX,1626069742,84,23.2167,-106.4167,84.02,1.01
Mossamedes,0,AO,1626069763,84,-15.1961,12.1522,62.15,10.65
Tiznit Province,92,MA,1626069763,38,29.5833,-9.5,82.08,2.08
Venice,20,US,1626069569,95,27.0998,-82.4543,79.14,8.05
Batagay-Alyta,100,RU,1626069764,78,67.8006,130.4114,48.67,2.51
Mareeba,88,AU,1626069764,74,-17.0,145.4333,73.44,6.71
Umluj,0,SA,1626069764,34,25.0213,37.2685,91.9,8.08
Inhambane,0,MZ,1626069765,66,-23.865,35.3833,67.55,2.28
San Andrés,100,CO,1626069608,79,12.5847,-81.7006,82.2,22.32
Makakilo City,97,US,1626069765,64,21.3469,-158.0858,78.57,14.88
Saskylakh,74,RU,1626069766,33,71.9167,114.0833,62.02,14.7
Saint-Augustin,100,CA,1626069766,93,51.226,-58.6502,56.39,8.05
Marquette,0,US,1626069766,77,46.5333,-87.6335,56.35,3.02
Lima,93,PE,1626069767,90,-12.0432,-77.0282,60.13,6.78
Lavrentiya,96,RU,1626069767,82,65.5833,-171.0,51.17,8.1
Āstāneh-ye Ashrafīyeh,95,IR,1626069767,74,37.2596,49.9444,82.33,0.92
Mehamn,10,NO,1626069767,65,71.0357,27.8492,60.98,8.75
Muramatsu,91,JP,1626069768,74,37.6833,139.1833,80.44,4.59
Kalmunai,77,LK,1626069768,51,7.4167,81.8167,89.98,4.61
Sistranda,49,NO,1626069768,86,63.7256,8.834,62.56,7.09
Yulara,41,AU,1626069769,29,-25.2406,130.9889,73.76,6.64
Brae,100,GB,1626069769,91,60.3964,-1.353,55.31,2.77
Klaksvík,100,FO,1626069769,94,62.2266,-6.589,52.72,4.81
Prykolotne,54,UA,1626069770,62,50.1604,37.3474,76.42,9.44
Upernavik,7,GL,1626069770,77,72.7868,-56.1549,37.63,10.63
Gamba,98,GA,1626069771,88,-2.65,10.0,73.45,6.26
St. George's,100,GD,1626069732,86,12.0564,-61.7485,78.96,17.54
Oktyabr'skiy,5,RU,1626069771,47,54.4815,53.471,66.74,14.72
Manicoré,95,BR,1626069772,85,-5.8092,-61.3003,73.04,1.43
Øksfjord,100,NO,1626069772,80,70.2396,22.3479,67.12,1.7
Mahébourg,29,MU,1626069664,58,-20.4081,57.7,74.25,18.59
Nanortalik,100,GL,1626069772,97,60.1432,-45.2371,41.92,4.99
Itapora,10,BR,1626069773,59,-22.0799,-54.7874,59.34,6.42
Alice Springs,25,AU,1626069773,21,-23.7,133.8833,81.95,11.99
Vuktyl,2,RU,1626069773,40,63.8567,57.3094,56.82,10.4
Hamilton,75,US,1626069774,95,39.1834,-84.5333,73.99,0.0
Ascension,40,US,1626069774,95,30.2169,-90.9001,78.01,0.0
Trelew,11,AR,1626069774,66,-43.249,-65.3051,44.06,10.74
Port-Cartier,7,CA,1626069775,61,50.0334,-66.8654,51.75,10.76
Katherine,60,AU,1626069775,10,-14.4667,132.2667,91.72,14.97
Campoverde,74,PE,1626069775,99,-8.4753,-74.8058,69.6,1.59
Waipawa,100,NZ,1626069776,77,-41.4122,175.5153,45.23,4.43
Hornepayne,0,CA,1626069776,91,49.2138,-84.7705,55.96,4.9
Gannan,10,CN,1626069776,62,47.9147,123.5031,87.22,10.78
Labuhan,42,ID,1626069777,56,-6.8844,112.2051,87.78,12.19
Wilmington,42,US,1626069504,82,34.2257,-77.9447,80.85,3.0
Poum,96,NC,1626069777,65,-20.2333,164.0167,71.91,17.27
Aykhal,100,RU,1626069778,53,66.0,111.5,67.1,12.48
Moose Factory,2,CA,1626069778,73,51.2585,-80.6094,44.46,3.8
Talakan,54,RU,1626069778,45,50.3167,130.3667,86.74,2.89
Camargo,73,MX,1626069779,44,27.6667,-105.1667,81.45,10.8
San Jose,75,US,1626069400,79,37.3394,-121.895,66.88,10.36
Constitución,38,CL,1626069779,71,-35.3333,-72.4167,45.03,4.61
Nemuro,100,JP,1626069770,93,43.3236,145.575,60.75,10.78
Cao Bang,72,VN,1626069779,53,22.6667,106.25,92.53,9.42
Bariloche,58,AR,1626069635,94,-41.1456,-71.3082,35.78,7.11
Mayo,4,US,1626069650,87,38.8876,-76.5119,80.91,3.0
Quelimane,47,MZ,1626069780,71,-17.8786,36.8883,73.6,3.02
Amahai,92,ID,1626069780,86,-3.3333,128.9167,79.59,7.05
Kamenka,0,RU,1626069781,52,51.3223,42.7678,75.42,9.95
The Valley,97,AI,1626069781,77,18.217,-63.0578,82.09,23.04
Kropotkin,0,RU,1626069781,46,45.4375,40.5756,82.31,3.53
Shīeli,0,KZ,1626069782,17,44.1667,66.75,92.3,6.62
Catalina,56,US,1626069782,58,32.5056,-110.9211,89.46,12.28
San Patricio,58,US,1626069782,95,28.017,-97.5169,82.89,6.71
Bereda,90,ES,1626069783,100,43.2686,-7.5406,57.42,3.96
Rzhishchëv,56,UA,1626069783,69,49.9689,31.0463,80.17,7.27
Isangel,82,VU,1626069784,87,-19.55,169.2667,72.57,12.55
Laje,8,BR,1626069784,92,-10.1833,-40.9667,62.82,4.65
Sarankhola,100,BD,1626069784,57,22.3082,89.7897,91.74,10.4
‘Ewa Beach,99,US,1626069785,64,21.3156,-158.0072,79.99,11.99
Nampula,79,MZ,1626069785,79,-15.1165,39.2666,68.0,9.28
Kharp,90,RU,1626069785,83,66.8014,65.8081,43.02,8.9
Ōdate,96,JP,1626069786,87,40.2686,140.5683,76.24,3.27
Jiaojiang,100,CN,1626069786,73,28.6803,121.4428,97.0,13.73
Pevek,47,RU,1626069787,67,69.7008,170.3133,55.53,0.34
Alihe,47,CN,1626069787,61,50.5667,123.7167,81.12,8.14
Nizhniy Kuranakh,100,RU,1626069787,69,58.8353,125.4869,66.43,4.88
Severnoye,75,RU,1626069787,53,56.3491,78.3619,77.32,5.79
Bodden Town,73,KY,1626069788,90,19.2833,-81.25,82.92,15.79
Shubarkuduk,41,KZ,1626069788,43,49.1447,56.4872,77.09,11.05
Calvinia,1,ZA,1626069789,56,-31.4707,19.776,41.92,5.48
Dalvik,15,IS,1626069789,81,65.9702,-18.5286,55.9,2.01
Geraldton,90,AU,1626069789,60,-28.7667,114.6,72.01,23.02
Cabo San Lucas,19,MX,1626069514,67,22.8909,-109.9124,88.61,7.0
Ulladulla,100,AU,1626069790,61,-35.35,150.4667,61.88,6.06
Mount Isa,74,AU,1626069609,13,-20.7333,139.5,82.17,12.66
Canoa,68,DO,1626069790,83,18.355,-71.1585,77.38,5.21
Provideniya,0,RU,1626069791,76,64.3833,-173.3,44.71,6.71
Houston,40,US,1626069046,84,29.7633,-95.3633,82.8,3.0
Butaritari,98,KI,1626069791,71,3.0707,172.7902,83.73,14.05
San Juan,5,AR,1626069653,58,-31.5375,-68.5364,50.47,2.01
Newton,90,US,1626069792,93,42.337,-71.2092,69.78,1.99
Roquetas de Mar,41,ES,1626069792,60,36.7642,-2.6148,73.4,11.05
Oistins,66,BB,1626069792,82,13.0667,-59.5333,79.43,21.16
Mojokerto,26,ID,1626069793,46,-7.4664,112.4338,89.31,8.23
Guerrero Negro,4,MX,1626069793,85,27.9769,-114.0611,67.32,12.24
Omboué,100,GA,1626069794,88,-1.5746,9.2618,74.66,8.48
Lata,77,PT,1626069794,93,40.1629,-8.3327,58.93,3.78
Bowen,31,AU,1626069794,64,-20.0167,148.2333,71.38,15.9
Sisimiut,83,GL,1626069794,77,66.9395,-53.6735,42.82,3.76
Alofi,0,NU,1626069795,84,-19.0595,-169.9187,77.14,15.08
Ambilobe,1,MG,1626069795,47,-13.2,49.05,80.73,8.93
Bethal,0,ZA,1626069796,50,-26.4579,29.4655,46.53,5.03
Biak,66,ID,1626069796,86,-0.9131,122.8766,78.89,11.01
Abaza,98,RU,1626069796,64,52.655,90.0928,70.59,6.04
Ixtapa,100,MX,1626069797,96,20.7,-105.2,76.3,1.57
Al Bardīyah,0,LY,1626069797,59,31.7561,25.0865,79.66,7.92
Lintangan,90,PH,1626069797,78,7.2155,121.952,83.64,4.36
Shingū,100,JP,1626069798,81,33.7333,135.9833,80.91,1.77
Waingapu,12,ID,1626069798,54,-9.6567,120.2641,85.1,17.05
Buşayrā,0,JO,1626069618,35,30.7376,35.6078,76.35,5.41
Neuquén,6,AR,1626069624,46,-38.9516,-68.0591,43.43,7.74
San Angelo,100,US,1626069598,93,31.4638,-100.437,71.98,1.99
Zarubino,52,RU,1626069799,83,42.63,131.0922,74.37,9.15
Price,42,US,1626069799,20,39.5994,-110.8107,78.12,7.27
Harper,81,LR,1626069799,76,4.375,-7.7169,76.42,6.31
Huanren,90,CN,1626069800,55,41.2647,125.3667,88.43,8.23
Petrykivka,0,UA,1626069800,63,48.7298,34.6351,77.92,7.99
Traralgon,100,AU,1626069800,64,-38.1833,146.5333,60.42,1.99
Okha,100,RU,1626069801,97,53.5739,142.9478,60.24,1.3
Nanzhou,71,CN,1626069801,55,29.3596,112.4024,95.02,12.59
Malinovoye Ozero,70,RU,1626069801,40,51.6753,79.7825,79.92,6.76
Nyurba,98,RU,1626069802,38,63.2842,118.3319,76.55,3.11
Santa Cruz de Tenerife,43,ES,1626069802,57,28.4682,-16.2546,86.59,9.22
Matara,73,LK,1626069802,71,5.9485,80.5353,85.1,19.08
Porto Nacional,9,BR,1626069789,51,-10.7081,-48.4172,70.23,2.28
Puerto El Triunfo,98,SV,1626069803,92,13.2833,-88.55,75.36,3.6
Rocha,80,UY,1626069803,88,-34.4833,-54.3333,48.13,6.15
Strezhevoy,33,RU,1626069803,36,60.7333,77.5889,60.78,3.2
Rincon,1,US,1626069804,97,32.296,-81.2354,80.85,4.61
Pangnirtung,8,CA,1626069804,63,66.1451,-65.7125,50.27,0.78
Ostrovnoy,94,RU,1626069804,75,68.0531,39.5131,48.27,7.94
Narsaq,100,GL,1626069805,99,60.9167,-46.05,46.62,4.7
Port Hueneme,20,US,1626069600,86,34.1478,-119.1951,78.62,4.61
Cockburn Town,31,TC,1626069805,86,21.4612,-71.1419,81.16,23.58
Kenai,92,US,1626069806,59,60.5544,-151.2583,59.09,6.13
Uvira,24,CD,1626069806,61,-3.4067,29.1458,74.52,2.37
Taoudenni,12,ML,1626069806,37,22.6783,-3.9836,90.55,7.14
Mahabalipuram,100,IN,1626069807,53,12.6264,80.1722,89.65,14.92
Mujiayingzi,100,CN,1626069807,72,42.1167,118.7833,74.84,23.6
Kang,0,BW,1626069808,36,-23.6752,22.7876,48.45,8.95
Bayan,85,CN,1626069808,60,46.0833,127.4,86.86,4.21
